County,Year,Total number of acres burned
Alpine,2003,0
Amador,2003,610
Butte,2003,1127
Calaveras,2003,740
Colusa,2003,233
Contra Costa,2003,852
Del Norte,2003,7
El Dorado,2003,535
Fresno,2003,908
Glenn,2003,508
Humboldt,2003,25275
Imperial,2003,0
Inyo,2003,40
Kern,2003,0
Kings,2003,0
Lake,2003,1441
Lassen,2003,1340
Los Angeles,2003,0
Madera,2003,1425
Marin,2003,0
Mariposa,2003,1512
Mendocino,2003,1026
Merced,2003,2960
Modoc,2003,33
Mono,2003,1
Monterey,2003,581
Napa,2003,551
Nevada,2003,266
Orange,2003,0
Placer,2003,213
Plumas,2003,1
Riverside,2003,21814
Sacramento,2003,39
San Benito,2003,833
San Bernardino,2003,12802
San Diego,2003,266535
San Francisco,2003,0
San Joaquin,2003,6831
San Luis Obispo,2003,3404
San Mateo,2003,80
Santa Barbara,2003,0
Santa Clara,2003,33511
Santa Cruz,2003,19
Shasta,2003,1867
Sierra,2003,0
Siskiyou,2003,316
Solano,2003,134
Sonoma,2003,251
Stanislaus,2003,6205
Sutter,2003,0
Tehama,2003,1294
Trinity,2003,4
Tulare,2003,1725
Tuolumne,2003,1382
Ventura,2003,0
Yolo,2003,2163
Yuba,2003,221
Alameda,2002,1890
Alpine,2002,0
Amador,2002,610
Butte,2002,3059
Calaveras,2002,1448
Colusa,2002,209
Contra Costa,2002,1014
Del Norte,2002,172
El Dorado,2002,1118
Fresno,2002,1203
Glenn,2002,3
Humboldt,2002,116
Imperial,2002,0
Inyo,2002,1121
Kern,2002,0
Kings,2002,0
Lake,2002,302
Lassen,2002,26
Los Angeles,2002,0
Madera,2002,471
Marin,2002,0
Mariposa,2002,471
Mendocino,2002,2398
Merced,2002,1520
Modoc,2002,85
Mono,2002,0
Monterey,2002,291
Napa,2002,948
Nevada,2002,397
Orange,2002,0
Placer,2002,617
Plumas,2002,2
Riverside,2002,1625
Sacramento,2002,247
San Benito,2002,262
San Bernardino,2002,193
San Diego,2002,70795
San Francisco,2002,0
San Joaquin,2002,258
San Luis Obispo,2002,3991
San Mateo,2002,24
Santa Barbara,2002,0
Santa Clara,2002,3646
Santa Cruz,2002,45
Shasta,2002,1016
Sierra,2002,0
Siskiyou,2002,3588
Solano,2002,484
Sonoma,2002,186
Stanislaus,2002,1345
Sutter,2002,0
Tehama,2002,892
Trinity,2002,12
Tulare,2002,1525
Tuolumne,2002,130
Ventura,2002,0
Yolo,2002,1565
Yuba,2002,1490
Alameda,2001,638
Alpine,2001,0
Amador,2001,3470
Butte,2001,10436
Calaveras,2001,20902
